Designator,Mid X,Mid Y,Rotation,Layer
C1,86,-40.5,0,bottom
C2,86.75,-31.5,180,bottom
C3,88.3,-44.6,180,bottom
C4,93.75,-43.4,180,bottom
C5,94.4,-26,180,bottom
C6,108,-30.13,0,bottom
C7,102.25,-44.4,270,bottom
C8,97.65,-43.45,180,bottom
D0,47.625,-61.9125,180,bottom
D1,66.675,-62.25,180,bottom
D2,85.725,-62.25,180,bottom
D3,104.775,-62.25,180,bottom
D10,47.625,-80.9625,180,bottom
D11,66.675,-80.9625,180,bottom
D12,85.725,-81.25,180,bottom
D13,104.775,-81.25,180,bottom
D20,47.625,-100.0125,180,bottom
D21,66.675,-100.0125,180,bottom
D22,85.725,-100.0125,180,bottom
D23,104.775,-100.25,180,bottom
D30,47.625,-119.0625,180,bottom
D31,66.675,-119.0625,180,bottom
D32,85.725,-119.0625,180,bottom
D33,104.775,-119.25,180,bottom
IC1,98.8,-34.1,90,bottom
R1,47.2,-33.4,270,bottom
R2,104.4,-26,180,bottom
R3,77.35,-39,90,bottom
R4,75.15,-39.05,90,bottom
RESET1,50.4,-28.4,180,bottom
R_CC1,70.5,-27.5,270,bottom
R_CC2,82,-27.6,270,bottom
R_SCL1,61.4,-38.85,270,bottom
R_SDA1,67.7,-38.85,270,bottom
USB1,76.25,-17.5,0,bottom
U_ESD1,76.25,-34.5,90,bottom
X1,86.25,-36,90,bottom
