Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",86.000000,-40.500000,0.000000,bottom
"C2","22p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",86.750000,-31.500000,180.000000,bottom
"C3","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.300000,-44.600000,180.000000,bottom
"C4","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.750000,-43.400000,180.000000,bottom
"C5","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.400000,-26.000000,180.000000,bottom
"C6","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.000000,-30.130000,0.000000,bottom
"C7","4.7u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.250000,-44.400000,270.000000,bottom
"C8","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.650000,-43.450000,180.000000,bottom
"D0","DIODE","D_SOD-123",47.625000,-61.912500,180.000000,bottom
"D1","DIODE","D_SOD-123",66.675000,-62.250000,180.000000,bottom
"D2","DIODE","D_SOD-123",85.725000,-62.250000,180.000000,bottom
"D3","DIODE","D_SOD-123",104.775000,-62.250000,180.000000,bottom
"D10","DIODE","D_SOD-123",47.625000,-80.962500,180.000000,bottom
"D11","DIODE","D_SOD-123",66.675000,-80.962500,180.000000,bottom
"D12","DIODE","D_SOD-123",85.725000,-81.250000,180.000000,bottom
"D13","DIODE","D_SOD-123",104.775000,-81.250000,180.000000,bottom
"D20","DIODE","D_SOD-123",47.625000,-100.012500,180.000000,bottom
"D21","DIODE","D_SOD-123",66.675000,-100.012500,180.000000,bottom
"D22","DIODE","D_SOD-123",85.725000,-100.012500,180.000000,bottom
"D23","DIODE","D_SOD-123",104.775000,-100.250000,180.000000,bottom
"D30","DIODE","D_SOD-123",47.625000,-119.062500,180.000000,bottom
"D31","DIODE","D_SOD-123",66.675000,-119.062500,180.000000,bottom
"D32","DIODE","D_SOD-123",85.725000,-119.062500,180.000000,bottom
"D33","DIODE","D_SOD-123",104.775000,-119.250000,180.000000,bottom
"IC1","ATMEGA32U4","ATMEGA32U4-AU",98.800000,-34.100000,90.000000,bottom
"R1","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.200000,-33.400000,270.000000,bottom
"R2","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",104.400000,-26.000000,180.000000,bottom
"R3","22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.350000,-39.000000,90.000000,bottom
"R4","22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.150000,-39.050000,90.000000,bottom
"RESET1","SWITCH_PUSH","SW_SPST_TL3342",50.400000,-28.400000,180.000000,bottom
"R_CC1","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",70.500000,-27.500000,270.000000,bottom
"R_CC2","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",82.000000,-27.600000,270.000000,bottom
"R_SCL1","4.7k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",61.400000,-38.850000,270.000000,bottom
"R_SDA1","4.7k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.700000,-38.850000,270.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",76.250000,-17.500000,0.000000,bottom
"U_ESD1","USBLC6-2SC6","SOT-23-6",76.250000,-34.500000,270.000000,bottom
"X1","Crystal_GND24_Small","Crystal_SMD_5032-4Pin-HandSolder",86.250000,-36.000000,90.000000,bottom
