"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"acheronLong";1;"LOGO";;;
2;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"VIA-0.6mm";10;"VIA-0.6mm";;;
3;"REF**,REF**,REF**";"via-0.6mm";3;"via-0.6mm";;;
4;"SW12,SW0,SW20,SW11,SW23,SW1,SW2,SW3,SW10,SW13,SW21,SW22,SW30,SW31,SW32,SW33";"MXA100";16;"SWITCH_PUSH";;;
5;"USB1";"HRO-TYPE-C-31-M-12-HandSoldering";1;"HRO-TYPE-C-31-M-12";;;
6;"C1,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22p";;;
7;"C3,C4,C5,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"0.1u";;;
8;"C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.7u";;;
9;"C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1u";;;
10;"IC1";"ATMEGA32U4-AU";1;"ATMEGA32U4";;;
11;"R3,R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22";;;
12;"J_OLED1";"OLED_4Pin_outline";1;"Conn_01x04_Female";;;
13;"U_ESD1";"SOT-23-6";1;"USBLC6-2SC6";;;
14;"R_CC1,R_CC2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"5.1k";;;
15;"R_SCL1,R_SDA1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"4.7k";;;
16;",,";"MountingHole_3.2mm_M3";3;"MountingHole_3.2mm_M3";;;
17;"USBASP1";"PinSocket_2x03_P2.00mm_Vertical";1;"Conn_01x06_Female";;;
18;"X1";"Crystal_SMD_5032-4Pin-HandSolder";1;"Crystal_GND24_Small";;;
19;"R1,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10k";;;
20;"RESET1";"SW_SPST_TL3342";1;"SWITCH_PUSH";;;
21;"REF**";"OSHW-Logo2_7.3x6mm_SilkScreen";1;"OSHW-Logo2_7.3x6mm_SilkScreen";;;
22;"REF**";"Symbol_GNU-GPL_CopperTop_Small";1;"Symbol_GNU-GPL_CopperTop_Small";;;
23;"D0,D1,D2,D3,D10,D11,D12,D13,D20,D21,D22,D23,D30,D31,D32,D33";"D_SOD-123";16;"DIODE";;;
